1,1,1691.97,381.048,152.23,352.617,1,-1,-1,-1
1,2,1233.55,467.507,133.65,218.985,1,-1,-1,-1
1,3,108.484,461.531,97.759,297.453,1,-1,-1,-1
1,4,256.996,420.694,101.497,296.434,1,-1,-1,-1
1,5,19.5685,469.707,87.4595,343.434,1,-1,-1,-1
1,6,1869.09,376.414,49.91,222.562,1,-1,-1,-1
1,7,1252.28,509.199,59.49,133.608,1,-1,-1,-1
1,8,0,265.374,109.767,381.325,1,-1,-1,-1
0,1,1691.65,381.676,185.436,364.076,1,-1,-1,-1
0,2,1269.89,450.603,76.945,214.069,1,-1,-1,-1
0,3,89.5184,445.917,104.365,327.281,1,-1,-1,-1
0,4,249.752,471.026,108.037,239.535,1,-1,-1,-1
0,5,11.1959,485.172,105.538,375.43,1,-1,-1,-1
0,6,1875.39,375.154,43.6369,204.688,1,-1,-1,-1
0,8,3.11959,285.266,96.8902,365.553,1,-1,-1,-1
0,1,1702.71,378.858,181.088,350.837,1,-1,-1,-1
0,2,1275.96,450.76,75.4298,208.535,1,-1,-1,-1
0,3,91.6141,471.77,102.923,298.579,1,-1,-1,-1
0,4,256.924,451.864,107.32,260.259,1,-1,-1,-1
0,5,0,336.93,125.71,563.081,1,-1,-1,-1
0,6,1874.96,374.721,43.8723,200.731,1,-1,-1,-1
0,7,1251.59,478.626,51.0168,180.224,1,-1,-1,-1
0,1,1700.34,388.262,164.13,323.202,1,-1,-1,-1
0,2,1288.14,448.589,77.5537,231.219,1,-1,-1,-1
0,3,93.7215,473.566,105.044,296.351,1,-1,-1,-1
0,4,254.422,433.923,113.027,286.003,1,-1,-1,-1
0,5,0,292.21,123.854,604.207,1,-1,-1,-1
0,6,1872.68,371.969,45.9084,204.898,1,-1,-1,-1
0,7,1260.65,485.219,60.3307,174.886,1,-1,-1,-1
0,1,1696.64,392.86,158.901,325.499,1,-1,-1,-1
0,2,1281.72,441.296,85.6118,242.239,1,-1,-1,-1
0,3,96.7619,478.093,97.7761,279.506,1,-1,-1,-1
0,4,261.389,430.246,115.84,290.742,1,-1,-1,-1
0,5,0,254.305,126.202,649.201,1,-1,-1,-1
0,6,1870.17,363.211,48.2206,209.7,1,-1,-1,-1
0,1,1701.08,400.102,154.689,323.087,1,-1,-1,-1
